light,humidity,date,soilMoisture,battery,pressure,rain,sensorName,temperature,altitude
-1.01,81.76757813,2023-05-23 01:42:25+00:00,1021.0,-1.01,897.3809204,-1.01,sensorOne,20.36000061,1012.70282
-1.01,-1.01,2023-05-26 10:34:42+00:00,2704.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-22 10:13:03+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,90.86816406,2023-05-25 03:24:27+00:00,1137.0,-1.01,896.2340698,-1.01,sensorOne,20.51000023,1023.242981
-1.01,84.91015625,2023-05-24 02:41:30+00:00,1200.0,-1.01,896.7014771,-1.01,sensorTwo,20.68000031,1018.945984
-1.01,91.78027344,2023-05-26 09:14:04+00:00,1429.0,-1.01,895.2056274,-1.01,sensorOne,19.42000008,1032.704468
-1.01,-1.01,2023-06-06 22:47:44+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-06-04 17:06:33+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
132.8145752,-1.01,2023-05-21 22:42:08+00:00,2099.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.163200006,-1.01,2023-05-22 06:38:30+00:00,2814.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.163200006,-1.01,2023-05-22 09:37:29+00:00,2800.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-05-26 05:36:40+00:00,2902.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-25 22:39:40+00:00,3787.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,56.82617188,2023-05-22 20:46:18+00:00,2663.0,-1.01,932.1617432,-1.01,sensorOne,26.27000046,698.1075439
0.081600003,-1.01,2023-05-25 08:09:40+00:00,1126.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.163200006,-1.01,2023-05-24 08:17:41+00:00,1141.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.326400012,-1.01,2023-05-22 12:36:27+00:00,2805.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.163200006,-1.01,2023-05-26 06:02:48+00:00,1129.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,72.32324219,2023-06-05 21:12:44+00:00,4095.0,-1.01,894.5921631,-1.01,sensorTwo,31.28000069,1038.352539
0.0,-1.01,2023-05-24 02:19:39+00:00,1126.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-05-25 01:46:46+00:00,3897.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,75.39746094,2023-05-23 15:38:09+00:00,1070.0,-1.01,897.1035767,-1.01,sensorOne,28.78000069,1015.250671
147.7601624,-1.01,2023-05-25 13:08:19+00:00,1115.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-05-24 18:50:18+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
